Nome da Música,link,album,letra,artista
Como É que Eu Vou Dizer que Acabou?,/clarice-falcao/como-e-que-eu-vou-dizer-que-acabou.html,Problema Meu,"Era uma vez Mas como haveria de ser duas vezes ou três? Quanta burrice! Era um casal E esse casal é a gente, eu comecei mal Esquece o que eu disse  Veja bem, é que agora, agora é um momento meio... Quando eu nasci eu sempre fui tão... Resumindo A política não tá favorecendo o movimento de... Meu Deus Como é que eu vou dizer que acabou?  Há um tempão Mas esse tempão nunca que vai caber na canção Como é difícil Pensa que o fim Mas é que chamar de ""o fim"" me parece tão ruim Eu vou do início  Quando a gente pensa alguma coisa, quer dizer Algumas vezes nessa vida a gente quer um... Não, esquece É que quando, por exemplo, um elefante Nada a ver esse elefante Como é que eu vou dizer que acabou?  Toda vez ou pelo menos quase toda vez... Tem um negócio que eu pensei essa semana Não me lembro Que agonia não lembrar de alguma coisa, não é mesmo? Ha ha ha Como é que eu vou dizer que acabou?  Quando a gente pensa alguma coisa, quer dizer Algumas vezes nessa vida a gente quer um... Não, esquece É que quando, por exemplo, um elefante Nada a ver esse elefante Como é que eu vou dizer que acabou?  Toda vez ou pelo menos quase toda vez... Tem um negócio que eu pensei essa semana Não me lembro Que agonia não lembrar de alguma coisa, não é mesmo? Ha ha ha Como é que eu vou dizer que acabou?",Clarice Falcão
Coração Radiante,/clarice-falcao/coracao-radiante.html,,"O que eu mais quero é te dar um beijo E o seu corpo acariciar Você bem sabe que eu te desejo Tá escrito no meu olhar  O seu sorriso é um paraíso Onde contigo eu queria estar Ai, quem me dera se eu fosse o céu Você seria o meu luar  Eu te quero só pra mim Como as ondas são no mar Não dá pra viver assim Querer sem poder te tocar (2x)",Clarice Falcão
De Todos os Loucos do Mundo,/clarice-falcao/de-todos-os-loucos-do-mundo.html,Monomania,"De todos os loucos do mundo eu quis você Porque eu tava cansada de ser louca assim sozinha De todos os loucos do mundo eu quis você Porque a sua loucura parece um pouco com a minha  Você esconde a mão, diz que é Napoleão Boa parte de mim acredita que sim Se eu converso com ar no meio do jantar Você espera a vez dele de falar  Você fala chinês pela primeira vez Eu dou opinião num perfeito alemão Se eu emito um som que você acha bom A gente faz um dueto fora do tom  De todos os loucos do mundo eu quis você Porque eu tava cansada de ser louca assim sozinha De todos os loucos do mundo eu quis você Porque a sua loucura parece um pouco com a minha",Clarice Falcão
Deve Ter Sido Eu,/clarice-falcao/deve-ter-sido-eu.html,Problema Meu,"Eu já não amo mais você Mas eu ainda odeio essa menina Eu já joguei no lixo o seu tênis Seu casaco e seu isqueiro Mas eu sei que se por alguma mágica O prato dela vem com amendoim E ela é alérgica E o cozinheiro só repete assim: ""Cadê a lógica?"" Se ela for parar no hospital Passando muito mal Deve ter sido eu  Eu já não amo mais você Mas eu ainda odeio essa menina Eu não sei mais a placa do seu carro Não me lembro do seu cheiro Mas eu sei que numa tarde fatídica Se ela de repente tropeçar Na Joana Angélica E todo mundo em volta gargalhar: ""Como é patética"" Se ela implorar aos céus em vão Pra entrar dentro do chão Deve ter sido eu  Meu coração já parou de parar por você Já te respondo com a voz de alguém que é normal Ela aparece, o meu corpo começa a ferver Que nem o coelho do cara em Atração Fatal Aliás, esse plano não é mau  Eu já não amo mais você Mas eu ainda odeio essa menina Eu não sei mais se o seu aniversário Era mesmo em fevereiro Mas eu sei que se num dia bucólico Ela se arruma e sai Sob um sol fantástico E eis que sobre ela cai Um raio histórico Que divide o corpo dela em dois E sobra o pó depois Deve ter sido Deus",Clarice Falcão
Dia D,/clarice-falcao/dia-d.html,Tem Conserto,"Finalmente chegou hoje Eu já tava pra morrer Já tô toda preparada Pro negócio acontecer  Esperei semana toda Hoje vai ter que rolar  Esperei a semana toda Hoje vai ter que rolar Não tem como dar errado É a minha hora de brilhar  Esperei semana toda Hoje vai ter que rolar Não vai ter escapatória Meu amor, não vai prestar  Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar  Hoje eu vou dar Today I'm gonna give Hoy voy a dar  Já faz muito, muito tempo Eu nem lembro como é Tô com a calcinha boa Que se salva quem quiser  Esperei semana toda Hoje vai ter que rolar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar Hoje eu vou dar  Dar, dar, dar, dar, dar, dar Dar, dar, dar, dar, dar, dar Dar, dar, dar, dar, dar, dar  Eu, eu, eu, eu, eu, eu Eu, eu, eu, eu, eu, eu Eu, eu, eu, eu, eu, eu Eu, eu, eu, eu, eu, eu",Clarice Falcão
Duet,/clarice-falcao/duet.html,Problema Meu,"This song was supposed to be a duet But he left me and now he just can't do it He's not here anymore He's not answering the phone So what I'll do it alone  Yes I do it to the ear Well that gives me fear Yes I complicated stuff Not remembering his lines But I think I'm gonna be fine Just fine without him  I'm just fine without him I can breathe without him I can sing without him I just got to the chorus without him  How much do you love me? Is there someone above me? I don't know really How those questions were replied But I can assume that he lied  ""I'll never leave you"" That verse was his creation But considering the current situation Is ironic the word that you are looking for But I just don't care anymore Just fine without him  I'm just fine without him And I can breathe without him And I can sing without him I just got to this chorus without him  I'm just fine without him And I can breathe without him And I can sing without him I just finished the whole song without him  This song was supposed to be a duet",Clarice Falcão
Essa É pra Você,/clarice-falcao/essa-e-pra-voce.html,,"Meu amor Eu já não amo mais você Esse namoro já acabou há muito tempo E só você não percebeu  Meu amor Eu não aguento mais você Agora mesmo te olhando me veio um refluxo Mas já desceu  Meu amor Eu tenho nojo de você Eu tenho nojo da sua barba, dessa sua camisa verde E do seu cheiro  Gregório, meu amor Eu tenho ódio de você E quando você vai gravar um vídeo pro Porta dos Fundos Eu dou pro porteiro E nem sempre é pro do nosso prédio Que às vezes ele tá em horário de almoço E não adianta olhar pro lado, porque não tem mais ninguém aqui nessa sala Se tem uma coisa que eu odeio em você é quando você se faz de sonso Que nem ontem, eu peguei um cara na sua frente e disse que foi minha irmã gêmea E você sabe muito bem que eu sou filha única  E se você me perguntar se é pra você Eu vou negar e vou dizer que nada a ver",Clarice Falcão
Esvaziou,/clarice-falcao/esvaziou.html,Tem Conserto,Você era doido demais Pra notar que você Era doido demais  Quando olhava ao redor Você era coisa demais Pra ficar por aqui Onde só cabe quem Se desdobra em um só  É que às vezes quando alguém vai Parece que ninguém ficou Que ninguém ficou É que às vezes quando alguém vai Parece que esvaziou Que esvaziou  Você era grande demais Se mexia demais Não cabia morar nem no Maracanã  Você era logo demais Era cedo demais Só sabia viver se hoje fosse amanhã  É que às vezes quando alguém vai Parece que ninguém ficou Que ninguém ficou É que às vezes quando alguém vai Parece que esvaziou Que esvaziou  É que às vezes quando alguém vai Parece que ninguém ficou Que ninguém ficou É que às vezes quando alguém vai Parece que esvaziou Que esvaziou  É que às vezes quando alguém vai Parece que ninguém ficou Que ninguém ficou É que às vezes quando alguém vai Parece que esvaziou Que esvaziou,Clarice Falcão
Eu Escolhi Você,/clarice-falcao/escolhi-voce.html,Problema Meu,"Eu escolhi você Porque não tá tão fácil assim de escolher Tem muita gente ruim E quando não é ruim É porque não gosta de mim Aí termina que no fim só tem você  Eu escolhi você Porque não tinha tanta gente pra ser meu Vê só que sorte você deu Dos males o menor Porque você é o melhor Ou melhor, o menos pior pra escolher  Na minha vida já existiram Cinquenta opções de amor Quarenta e nove desistiram E você foi o que sobrou  Eu escolhi você Com fé de não me arrepender de te escolher Até um outro aparecer Não fica triste não Eu escolhi de coração Também por falta de opção, mas foi você  Na minha vida já existiram Cinquenta opções de amor Quarenta e nove desistiram E você foi o que sobrou  Eu escolhi você Porque não tá tão fácil assim de escolher Tem muita gente ruim E quando não é ruim É porque não gosta de mim Aí termina que no fim só tem você",Clarice Falcão
Eu Esqueci Você,/clarice-falcao/eu-esqueci-voce.html,Monomania,Só pra você saber Eu esqueci você Um mês depois de você me esquecer de vez E decidir ficar sozinho  Só pra você saber Eu esqueci você E se o meu olhar cruzar com o seu É só porque você tá no caminho  E desde que eu te esqueci tá tão bom sem você Você ir fez tão bem por aqui Desde que eu te esqueci eu tô tão outro alguém Que eu nem sei porque é que você não vem  Só pra você saber Eu esqueci você E foi tão fácil te esquecer Mesmo porque isso já tava no meu plano  Só pra você saber Eu esqueci você E se um dia eu te ligar de madrugada em desespero É engano  E desde que eu te esqueci tá tão bom sem você Você ir fez tão bem por aqui Desde que eu te esqueci eu tô tão outro alguém Que eu nem sei porque é que você não vem  Só pra você saber Eu esqueci você E agora quando eu lembro que você existe Eu já não sinto mais nada  Só pra você saber Eu esqueci você E se eu chegar a te obrigar a me beijar Assume que eu tô drogada  E desde que eu te esqueci tá tão bom sem você Você ir fez tão bem por aqui Desde que eu te esqueci eu tô tão outro alguém Que eu nem sei porque é que você não vem  Só pra você saber Só pra você saber Só pra você saber Só pra você,Clarice Falcão
Eu Me Lembro (part. Silva),/clarice-falcao/eu-me-lembro-part-silva.html,Monomania,"Era manhã Três da tarde Quando ele chegou Foi ela que subiu Eu disse ""oi, fica à vontade"" Eu é que disse ""oi"", mas ela não ouviu  E foi assim que eu vi que a vida Colocou ele/ela pra mim Ali naquela terça-feira/quinta-feira De setembro/dezembro Por isso eu sei de cada luz De cada cor de cor Pode me perguntar de cada coisa Que eu me lembro  A festa foi muito animada Oito ou nove gatos pingados no salão Eu adorei a feijoada Era presunto enrolado no melão  E foi assim que eu vi que a vida Colocou ele/ela pra mim Ali naquela terça-feira/quinta-feira De setembro/dezembro Por isso eu sei de cada luz De cada cor de cor Pode me perguntar de cada coisa Que eu me lembro  Ela me achou muito engraçado Ele falou, falou e eu fingi que ri A blusa dela tava do lado errado Ele adorou o jeito que eu me vesti  E foi assim que eu vi que a vida Colocou ele/ela pra mim Ali naquela terça-feira/quinta-feira De setembro/dezembro Por isso eu sei de cada luz De cada cor de cor Pode me perguntar de cada coisa Que eu me lembro  Eu me lembro Eu me lembro Eu me lembro",Clarice Falcão
Eu Sou Problema Meu,/clarice-falcao/eu-sou-problema-meu.html,Problema Meu,"Não sei de ninguém que me vendeu Por dois camelos pra você Em um negócio armado no meio da rua Nem cartório algum reconheceu Um documento que explicita em papel Que legalmente eu sou sua  Quando eu disse sim aquela hora Eu disse sim àquela hora Eu não disse sim por toda eternidade Eu não sei se você tá por fora Mas eu não tenho registro compra-e-venda Feito uma propriedade pessoal  Não me leve a mal Mas você não me tem Eu não sou um chapéu No armário de alguém Não valho um real Também não valho cem Eu sou problema meu  Eu nasci pessoa gente, eu não nasci coisa Eu não sou brinde de criança Nem presente de natal Não me espere aí na sua estante Nem agora nem por três vezes sem juros Nem no seu cheque especial  Não me leve a mal Mas você não me tem Eu não sou um chapéu No armário de alguém Não valho um real Também não valho cem Eu sou problema meu",Clarice Falcão
Fred Astaire,/clarice-falcao/fred-astaire.html,Monomania,"Deu pra escutar A canção que tocou pra gente E o meu coração que de repente Inventou de sapatear?  Ou eu fui louca E tudo foi um grande engano E eu faço o plano e o contra plano De um filme prestes a acabar?  Só pra saber Nesse tal filme de romance Antes que o público se canse Você me beija no final?  Um sim cai bem Mas não se sinta pressionado Porque um beijo obrigado Na tela imprime meio mal  Sem problema Ser figurante na sua história E olha, nem força sua memória Nem nome eu preciso ter  Mas cuidado Me deixa no canto da sala Que se eu tiver alguma fala Eu mudo pra ""amo você""",Clarice Falcão
Fred Astaire (English Version),/clarice-falcao/fred-astaire-english-version.html,Monomania,"Could you hear it All the birds singing while we talked there And my heart being all Fred Astaire In an eternal musical?  Or was I crazy? Did I imagine we were perfect? Did I star alone the first act Of a romantic two men show?  Can you save me? Do I deserve perhaps a maybe To the ""will you ever call me, baby?"" Eternal question in my mind  I sure hope so Don't feel compelled to anything, though Just because I think watching you go Is the saddest thing that I can find  I'll survive it Being an extra in your story I'm fine with it, so don't be sorry I can be lady 22  If that's it, then Just keep my part completely silent Give me a tiny little line and I will change it to ""I love you""",Clarice Falcão
Horizontalmente,/clarice-falcao/horizontalmente.html,Tem Conserto,Eu já desisti De me prometer Que eu vou levantar Quando o sol sair Ele sempre sai E eu sempre aqui Na horizontal  Eu não quero mais Ter que tá de pé Pra não derramar A minha aflição Quero ela aqui Pertinho de mim Na horizontal  Hoje eu não saio dessa cama nem a pau Hoje eu não saio dessa cama nem a pau  Se um tribunal Proibir deitar Vou fingir que eu nem compreendi Vou ficar aqui Apressando o fim Bem horizontal  Hoje eu não saio dessa cama nem a pau Hoje eu não saio dessa cama nem a pau Hoje eu não saio dessa cama nem a pau Hoje eu não saio dessa cama nem a pau,Clarice Falcão
I'm Nobody,/clarice-falcao/im-nobody.html,,I'm nobody And before you say it cannot be You're gonna see The impossibility to see me  Intangible In a way that you will never know How far it goes And how constantly it seems to grow  Useless and out of sight Like winter coats in June Like sunglasses at night Like gravity in Moon  I'm nobody And before you say it cannot be You're gonna see The impossibility to see me  Intangible In a way that you will never know How far it goes And how constantly it seems to grow  Like cellphones during flight Like dreams during the day Like words stuck in your mouth When there's nothing left to say,Clarice Falcão
Irônico,/clarice-falcao/ironico.html,Problema Meu,"Queria te dizer Que esse amor todo por você Ele é irônico, é só irônico  A cada ""eu te amo"" que eu te mando Eu tô pensando: Isso é irônico, e é irônico  Só de pensar que cê pensou que era sério Falando sério, eu quero rir Que você acha que quando eu me descabelo Ao som de um cello, eu tô aí  Eu gosto de você como quem gosta De um vídeo do Youtube de alguém cantando mal Eu gosto de você como quem gosta De uma celebridade B  Eu já achei quem eu amasse de verdade E eu pensei que era muito bom amar Mas vai que alguém espalha isso na cidade Com que cara eu vou ficar?  Eu gosto de você como quem gosta De um perfil no Facebook que usa foto de casal Eu gosto de você como quem gosta De quem já saiu do Bbb  Queria te dizer Que esse amor todo por você Ele é irônico, é só irônico  A cada ""eu te amo"" que eu te mando Eu tô pensando: Isso é irônico, e é irônico  Só de pensar que cê pensou que era sério Falando sério, eu quero rir Que você acha que quando eu me descabelo Ao som de um cello, eu tô aí",Clarice Falcão
L'amour Toujours (I'll Fly with You),/clarice-falcao/lamour-toujours-ill-fly-with-you.html,Problema Meu,"I still believe in your eyes I just don't care What you've done in your life  Baby I'll always be here by your side Don't leave me waiting too long Please come by  And I'll fly with you  Every day and every night I always dream that you are by my side Because I, I'll make you love me someday  You'll be my baby And we'll fly away And I'll fly with you  And I'll fly with you And I'll fly with you And I'll fly with you",Clarice Falcão
Macaé,/clarice-falcao/macae.html,Monomania,"Ei, se eu tiver coragem de dizer que eu meio gosto de você Você vai fugir a pé? E se eu falar que você é tudo o que eu sempre quis pra ser feliz Você vai pro lado oposto ao que eu estiver?  Eu queria tanto que você não fugisse de mim Mas se fosse eu, eu fugia  Ei, vai pegar mal se eu contar que eu imprimi todo o seu mapa astral? Você foge assim que der, quando souber? E se eu falar que eu decorei seu Rg só pra se precisar Você vai pra um chalé em Macaé?  Eu queria tanto que você não fugisse de mim Mas se fosse eu, eu fugia  Ei, se eu falar foi por amor que eu invadi o seu computador Você pega um avião? E se eu contar de uma só vez como eu achei sua senha do cartão Você foge pro Japão esse verão?  Eu queria tanto que você não fugisse de mim Mas se fosse eu, eu fugia  Ei, se eu contar como é que eu me senti ao grampear seu celular Você vai numa Dp? E se eu mostrar o cianureto que eu comprei pra gente se matar Você manda me prender no amanhecer?  Eu queria tanto que você não fugisse de mim Mas se fosse eu, eu fugia",Clarice Falcão
Mais Normal,/clarice-falcao/mais-normal.html,,Eu sei viver com um nariz Mas se eu tivesse três Talvez eu fosse mais interessante Se tivesse um rabo Que viesse até aqui E uma cicatriz apavorante  Vai que alguém tá aí Vai que alguém me escuta pedir  Se eu fosse tipo assim Um pouco mais normal Exatamente igual A quem não é igual a mim  Bem melhor ser toda azul Que ser de uma cor que nem parece cor Ser desbotada Sem falar na minha voz Pois produzir um som que não causa terror Não vale nada  Vai que alguém tá aí Vai que alguém me escuta pedir  Se eu fosse tipo assim Um pouco mais normal Exatamente igual A quem não é igual a mim  Se eu fosse tipo assim Um pouco mais normal Exatamente igual A quem não é igual a mim  Mas eu só tenho um nariz Também não sou azul Não tenho cicatriz Sou meio assim sem cor Não tenho rabo que espalha o terror Só tenho essa voz  Se eu fosse tipo assim Um pouco mais normal Não ia ser legal Deixar de ser igual a mim  Se eu fosse tipo assim Um pouco mais normal Não ia ser legal Deixar de ser igual a mim,Clarice Falcão
Mal Pra Saúde,/clarice-falcao/mal-pra-saude.html,Tem Conserto,Já quebrei a cara na sua porta Desde então visivelmente a minha cara nunca foi a mesma  Já caí em frente a sua calçada Até hoje todo mundo nota que eu caminho meio torta  Cola um aviso do ministério na sua testa feito um cigarro Advertindo pra geral Você faz mal pra saúde  Você faz mal pra Você faz mal pra saúde   Já quebrei a cara na sua porta Desde então visivelmente a minha cara nunca foi a mesma  Já caí em frente a sua calçada Até hoje todo mundo nota que eu caminho meio torta  Cola um aviso do ministério na sua testa feito um cigarro Advertindo pra geral Você faz mal pra saúde  Você faz mal pra Você faz mal pra saúde   Não sou só eu que tô falando De dez especialistas acho que nenhum te recomendaria  Você faz mal pra Você faz mal pra saúde,Clarice Falcão
Marlon Brando,/clarice-falcao/marlon-brando.html,,"Você ""marlombra"" o meu coração E eu fico ""marlombrada"" por você  Vocês podem até não parecer Assim fisicamente Nem espiritualmente Nem em nenhum outro aspecto que eu me lembre  Mas pra mim Você está sempre ""marlombrando""",Clarice Falcão
Marta,/clarice-falcao/marta.html,Problema Meu,"Marta, é urgente, tem gente do banco Querendo falar com você Um telefonema pra sua gerente Eu acho que vai resolver  Marta, eu não te conheço Marta, seu rosto é um breu Marta, eu pago esse preço Porque o seu número deve ser bem parecido com o meu  Marta, perdoa o pobre coitado do Carlos Que não foi por mal Não sei dos detalhes Ele nas mensagens de texto parece legal  Marta, eu não te conheço Marta, seu rosto é um breu Marta, eu pago esse preço Porque o seu número deve ser bem parecido com o meu  Marta, se manda que a louca da Rita Já soube e tá indo aí O que você fez, Marta, não é dessa vez Mas um dia eu vou descobrir  Marta, fiquei preocupada Achando que você morreu Ninguém mais te liga Sua melhor amiga Um dia talvez fosse eu  Marta, fiquei com saudade Mas o que é que eu posso fazer Ninguém mais me liga Minha melhor amiga Eu acho que era você",Clarice Falcão
Minha Cabeça,/clarice-falcao/minha-cabeca.html,Tem Conserto,"Minha cabeça não é Flor que se cheire Não é, minha parceira Não faz nada que eu peço  Minha cabeça repete As mesmas coisas Repete, as mesmas coisas Até, não ter mais coisa  Minha cabeça escreve Mil roteiros com fins Mirabolantes em que ninguém sai vivo  Minha cabeça é tão, a minha cara Que eu fico de cara quando eu Lembro que existo  Só quem consegue calar Tudo aqui dentro arrumar Tudo aqui dentro é você  Só quem consegue fazer Psiu aqui dentro, botar Ordem aqui dentro é você  Minha cabeça é pior Durante a noite Porque ela fala mais alto E tem muitas certezas  Minha cabeça me faz Crer que eu sou doida E aí, me deixa doida Vê só, a ironia  Minha cabeça não quer Calar a boca Se quer, por um segundo Pra eu ouvir os outros  Minha cabeça só faz Me passa a perna E não sei, se ela minha Ou se eu que sou dela  Só quem consegue calar Tudo aqui dentro arrumar Tudo aqui dentro é você  Só quem consegue fazer Psiu aqui dentro, botar Ordem aqui dentro é você  Minha cabeça alguém cala Minha cabeça alguém tira Minha cabeça alguém troca Minha cabeça alguém muda Minha cabeça alguém cala Minha cabeça alguém tira Minha cabeça alguém troca Minha cabeça alguém muda  Minha cabeça alguém cala Minha cabeça alguém tira Minha cabeça alguém troca Minha cabeça alguém muda  Minha cabeça alguém chuta Minha cabeça alguém mata Minha cabeça alguém soca Minha cabeça alguém corta Minha cabeça alguém cala Minha cabeça alguém tira Minha cabeça alguém troca Minha cabeça alguém corta",Clarice Falcão
Monomania,/clarice-falcao/monomania.html,Monomania,Já te fiz muita canção São quatro ou cinco ou seis ou mais Eu sei demais Que tá demais  Eu chego com um violão Você só tá querendo paz Você desvia pra cozinha E eu vou cantando atrás  Hoje eu falei pra mim Jurei até Que essa não seria pra você E agora é  Hoje eu falei pra mim Jurei até Que essa não seria pra você  Se juntar cada verso meu E comparar Vai dar pra ver Tem mais você que nota dó  Eu vou ter que me controlar Se um dia eu quero enriquecer Quem vai comprar esse Cd Sobre uma pessoa só?  Hoje eu falei pra mim Jurei até Que essa não seria pra você E agora é  Hoje eu falei pra mim Jurei até Que essa não seria pra você,Clarice Falcão
